8 9 1 1 10000 64.521500 2.938731 204.000000
8 9 1 1 100000 64.508310 3.104170 669.000000
8 9 1 1 1000 64.594500 4.269903 218.000000
8 23 8 1 10000 71.533300 3.819056 433.000000
8 23 8 1 100000 71.503270 2.606778 285.000000
8 23 8 1 1000 71.595000 4.433619 234.000000
7 56 14 1 10000 77.772000 35.668134 5103.000000
7 56 14 1 100000 77.507900 2.945281 470.000000
7 56 14 1 1000 77.592000 4.412090 239.000000
8 9 1 1 10000 64.515350 2.768585 205.000000
8 9 1 1 100000 64.501635 2.527453 205.000000
8 9 1 1 1000 64.733500 7.202810 324.000000
8 23 8 1 10000 71.751450 28.944412 4064.000000
8 23 8 1 100000 72.008335 2.591358 541.000000
8 23 8 1 1000 71.675000 6.084601 265.000000
7 56 14 1 10000 77.537350 4.648721 604.000000
7 56 14 1 100000 77.534850 11.744821 5099.000000
7 56 14 1 1000 77.593500 4.306537 233.000000
8 9 1 1 10000 64.521400 2.992063 246.000000
8 9 1 1 100000 64.503595 2.641878 375.000000
8 9 1 1 1000 64.603500 4.293400 218.000000
8 23 8 1 10000 71.555900 5.324526 627.000000
8 23 8 1 100000 71.529560 11.950565 5285.000000
8 23 8 1 1000 71.590500 4.375135 231.000000
7 56 14 1 10000 78.017800 3.396407 237.000000
7 56 14 1 100000 78.003015 3.124226 427.000000
7 56 14 1 1000 77.598000 4.581746 248.000000
8 9 1 1 10000 64.576950 6.325257 749.000000
8 9 1 1 100000 64.527600 11.850511 5242.000000
8 9 1 1 1000 64.680500 5.928357 258.000000
8 23 8 1 10000 71.561050 5.178858 561.000000
8 23 8 1 100000 71.503620 2.656363 386.000000
8 23 8 1 1000 71.591500 4.325925 228.000000
7 56 14 1 10000 78.025500 3.509708 239.000000
7 56 14 1 100000 77.501680 2.538334 239.000000
7 56 14 1 1000 77.601500 4.599315 249.000000
8 9 1 1 10000 64.525400 3.136105 269.000000
8 9 1 1 100000 64.506890 2.808938 402.000000
8 9 1 1 1000 64.595500 4.095837 207.000000
8 23 8 1 10000 71.518500 2.964803 231.000000
8 23 8 1 100000 71.503845 2.740988 543.000000
8 23 8 1 1000 71.687000 6.438248 283.000000
7 56 14 1 10000 77.539900 4.199870 483.000000
7 56 14 1 100000 77.503145 2.619641 372.000000
7 56 14 1 1000 77.588000 4.321141 234.000000
